region,juvenile_offenders_share_pct,digital_deviation_risk_index,internet_active_users_2023_pct,internet_active_users_2024_pct,internet_active_users_2025_pct,school_students_share_2023_pct,registered_crimes_2025,registered_crimes_per_100k_2025,underage_criminals_per_100k_pop,population_2024,life_quality_2025,healthy_lifestyle_pct,gini_coeff,not_smoking_male_pct,not_smoking_female_pct,num_of_criminals,num_of_alcohol_crimes,num_of_female_crimes,num_of_drugs_crimes,num_of_underaged_criminals,life_quality,population_size,num_of_crimes,school_students_share_2021_pct,school_students_share_2022_pct,population_2019_2024_avg,registered_crimes_2023,registered_crimes_2024,it_diplomas_per_100k_2023,it_diplomas_per_100k_2024,it_diplomas_per_100k_2025,life_quality_2024,life_quality_avg
Ненецкий автономный округ,0.7090333333333333,,,,,,,,39.47202223064292,42224.0,48.155,9.0,0.4388,54.79484085,83.63104015,362.3333333333333,181.8333333333333,68.16666666666667,0.8333333333333334,16.666666666666668,45.3935,41686.66666666666,780.8,,,41686.666666666664,,,,,,42.632,45.3935
Архангельская область,0.66995,,87.8,89.5,93.1,13.3,,,32.658609597620824,955848.0,41.781,8.55,0.371,62.94214784815873,85.69700742480904,6988.5,2759.166667,1222.8333333333333,41.5,312.1666666666667,41.5535,982873.1666666666,16291.8,12.949323327696808,13.237699674222217,982873.1666666666,,,0.93,0.8,0.94,41.326,41.5535
Вологодская область,0.5919333333333333,62.53149137184684,88.4,91.5,91.7,12.9,15388.0,1372.2830570128854,27.06575954012287,1121343.0,52.451,7.899999999999999,0.3571999999999999,60.940827693864456,89.28542537228643,6670.5,2760.6666666666665,1218.5,124.66666666666669,303.5,51.6845,1140388.8333333333,16834.6,12.297359808289597,12.641687104277494,1140388.8333333333,17247.0,16352.0,1.93,1.77,1.61,50.918,51.6845
Калининградская область,0.3692833333333333,37.049730415553725,93.1,93.8,94.6,12.4,11200.0,1083.2622442485545,15.120535492636074,1033914.0,68.602,12.3,0.354,67.83398938510997,88.37941634825654,4409.166666666667,1414.8333333333333,745.8333333333334,23.33333333333333,156.33333333333334,68.15950000000001,1025561.5,12620.6,12.054946571565326,12.2681451319571,1025561.5,13066.0,12923.0,1.56,2.32,3.19,67.717,68.15950000000001
Ленинградская область,0.3197833333333333,19.51069503739566,87.8,90.2,92.2,10,20185.0,991.5206197974027,10.921381445047766,2035762.0,70.19,8.983333333333334,0.351,64.1652516559075,87.99595128982747,7580.0,2422.1666666666665,1312.0,94.0,222.3333333333333,70.19800000000001,1994732.8333333333,24591.2,9.319649173559153,9.714050992461697,1994732.8333333333,25051.0,22059.0,0.84,0.74,0.84,70.206,70.19800000000001
Мурманская область,0.4846999999999999,61.04045041753844,93.1,93.9,95.2,12.5,9933.0,1513.1665138215642,23.256829535564158,656438.0,56.389,9.6,0.3535999999999999,57.59661375397951,79.634166897481,4030.6666666666665,1161.5,769.8333333333334,16.166666666666668,152.66666666666666,55.866,671899.3333333334,11731.4,12.140097202123238,12.41702242799591,671899.3333333334,12477.0,12076.0,1.24,0.61,1.22,55.343,55.866
Новгородская область,0.940383333,83.77618875712442,84.7,94.1,95.3,11.7,8869.0,1552.024947195453,41.4736624743852,571447.0,54.529,18.35,0.348,60.30835198283577,87.12660768910126,3581.0,1387.833333,640.0,15.5,237.0,52.9765,582385.6666666666,10488.0,11.37199640997049,11.57471568731967,582385.6666666666,11362.0,10964.0,0.51,0.35,0.87,51.424,52.9765
Псковская область,0.4670666666666667,47.5005734584459,90.3,86.7,87.8,11.8,7206.0,1239.9616620235502,19.61637933259571,581147.0,50.797,15.766666666666666,0.3634,62.551810749031645,86.96648491816498,3450.1666666666665,1223.8333333333333,654.1666666666666,10.666666666666666,114.0,49.912,597119.5,8484.6,11.297879478488218,11.578173191779515,597119.5,8918.0,9208.0,0.98,1.02,0.69,49.027,49.912
Санкт-Петербург,0.2284333333333333,16.49816846880642,91.1,92.7,93.9,10.6,59000.0,1053.9924609169768,7.089141382608254,5597763.0,84.211,7.683333333333333,0.4042,69.11224679745432,87.82936590693615,18907.33333333333,2422.1666666666665,3380.1666666666665,413.6666666666667,396.8333333333333,83.7995,5591176.0,63364.2,10.005577512300679,10.318824319051854,5591176.333333333,67026.0,65069.0,3.7,3.8,5.79,83.388,83.7995
Республика Адыгея (Адыгея),0.315966667,,93.5,94.5,94.4,,,,,,,20.75,0.4044,58.7692293,93.17185466,2005.0,456.1666667,335.0,9.833333333,72.0,65.1885,493904.0,4188.6,,,,,,,,,,
